Designator,Comment,Footprint,LCSC Part Number
"C1, C3",1uF,Capacitor_SMD:C_0603_1608Metric,C59782
"C2, C4, C5, C8, C9, C10, C11",100nF,Capacitor_SMD:C_0402_1005Metric,C1525
"C6, C7, C14, C15",18pF,Capacitor_SMD:C_0402_1005Metric,C1549
"C12, C13",100pF,Capacitor_SMD:C_0402_1005Metric,C1546
D1,LED,user:LED_0805_2012Metric_Castellated,C2297
FB1,600Z,Capacitor_SMD:C_0603_1608Metric,C1002
R1,10k,Resistor_SMD:R_0402_1005Metric,C25744
"R2, R3, R5, R9, R10, R11, R12",1k,Resistor_SMD:R_0402_1005Metric,C11702
R4,78.7k,Resistor_SMD:R_0402_1005Metric,C67239
R6,6.81k,Resistor_SMD:R_0402_1005Metric,C423269
"R7, R8",46.4,Resistor_SMD:R_0402_1005Metric,C423164
"R13, R14",2k,Resistor_SMD:R_0402_1005Metric,C4109
U1,74LVC16T245DGG,user:TSSOP-48_6.1x12.5mm_P0.5mm,C148170
"U3, U4",GS8091,user:SOT-23-5,C157724
